generation,fish,shark
0,7508,2511
1,5887,2511
2,4765,2511
3,7721,2511
4,6567,2511
5,5464,2511
6,8533,2511
7,7592,2511
8,6482,2511
9,9235,2511
10,8608,2511
11,7597,2511
12,9881,2511
13,9487,2511
14,8650,2511
15,10514,2511
16,10329,2511
17,9643,2511
18,11167,2511
19,11098,2511
20,10560,2511
21,11766,2511
22,11784,2511
23,11350,2511
24,12332,2511
25,12394,2511
26,12084,2511
27,12912,2511
28,13005,2511
29,12776,2511
30,13453,2511
31,13568,2511
32,13388,2511
33,13958,2511
34,14087,2511
35,13963,2511
36,14428,2511
37,14583,2511
38,14515,2511
39,14912,2511
40,15073,2511
41,15045,2511
42,15361,2511
43,15501,2511
44,15483,2511
45,15753,2511
46,15868,2511
47,15873,2511
48,16093,2511
49,16217,2511
50,16249,2510
51,16453,2510
52,16557,2510
53,16568,2510
54,16736,2510
55,16852,2509
56,16868,2509
57,17000,2508
58,17085,2508
59,17124,2508
60,17234,2508
61,17306,2507
62,17333,2507
63,17450,2507
64,17537,2507
65,17559,2507
66,17681,2507
67,17765,2507
68,17792,2507
69,17898,2506
70,17969,2506
71,17977,2506
72,18065,2506
73,18142,2506
74,18174,2506
75,18220,2506
76,18298,2506
77,18347,2506
78,18412,2506
79,18472,2506
80,18519,2506
81,18558,2506
82,18611,2506
83,18676,2506
84,18712,2506
85,18777,2506
86,18831,2506
87,18884,2506
88,18910,2506
89,18932,2506
90,18981,2506
91,19028,2506
92,19050,2506
93,19077,2506
94,19101,2506
95,19121,2506
96,19124,2506
97,19162,2506
98,19178,2506
99,19189,2506
100,18165,5012
101,15558,5012
102,13305,5012
103,11312,5012
104,9471,5012
105,7850,5012
106,6410,5012
107,5205,5011
108,4185,5011
109,3341,5011
110,2661,5011
111,2116,5011
112,1686,5011
113,1340,5011
114,1080,5011
115,868,5011
116,698,5011
117,565,5011
118,448,5011
119,370,5011
120,309,5011
121,245,5011
122,206,5011
123,171,5011
124,134,5011
125,113,5011
126,98,5010
127,76,5010
128,60,5010
129,52,5010
130,42,5010
131,35,5009
132,30,5009
133,22,5009
134,20,5008
135,16,5008
136,12,5007
137,11,5007
138,9,5006
139,7,5006
140,6,5006
141,6,5006
142,5,5005
143,4,5005
144,4,5004
145,4,5003
146,4,5002
147,4,5000
148,4,4997
149,3,4993
150,3,4937
151,3,4874
152,2,4772
153,3,4609
154,2,4375
155,2,4088
156,3,3751
157,3,3379
158,2,2991
159,4,2603
160,3,2246
161,2,1910
162,4,1623
163,4,1368
164,4,1158
165,6,972
166,6,811
167,5,674
168,9,560
169,9,467
170,8,395
171,13,332
172,14,277
173,13,230
174,19,192
175,20,161
176,20,136
177,28,113
178,29,92
179,30,79
180,39,67
181,42,56
182,44,46
183,54,38
184,60,33
185,63,28
186,74,23
187,79,20
188,84,17
189,96,14
190,101,13
191,106,11
192,121,9
193,129,9
194,133,8
195,150,7
196,160,6
197,167,6
198,184,5
199,196,5
200,203,9
201,222,9
202,231,8
203,239,8
204,261,8
205,272,7
206,280,7
207,306,7
208,318,7
209,327,7
210,355,7
211,369,7
212,381,7
213,409,7
214,424,7
215,437,7
216,469,7
217,486,7
218,500,7
219,531,7
220,549,7
221,565,7
222,598,7
223,619,7
224,635,7
225,672,7
226,694,7
227,713,7
228,752,7
229,774,7
230,789,7
231,828,7
232,850,7
233,867,7
234,904,7
235,926,7
236,944,7
237,977,7
238,1000,7
239,1018,7
240,1054,7
241,1080,7
242,1097,7
243,1130,7
244,1157,7
245,1175,7
246,1209,7
247,1236,7
248,1255,7
249,1288,7
250,1316,5
251,1337,5
252,1370,5
253,1395,5
254,1415,5
255,1450,5
256,1478,5
257,1500,5
258,1534,5
259,1563,5
260,1585,5
261,1619,5
262,1650,5
263,1670,5
264,1706,5
265,1736,5
266,1757,5
267,1793,5
268,1825,5
269,1847,5
270,1884,5
271,1915,5
272,1939,5
273,1979,5
274,2011,5
275,2034,5
276,2073,5
277,2107,5
278,2132,5
279,2172,5
280,2204,5
281,2229,5
282,2269,5
283,2303,5
284,2331,5
285,2372,5
286,2407,5
287,2433,5
288,2474,5
289,2512,5
290,2539,5
291,2580,5
292,2617,5
293,2645,5
294,2688,5
295,2725,5
296,2756,5
297,2795,5
298,2832,5
299,2863,5
300,2900,11
301,2934,11
302,2964,11
303,3010,11
304,3046,11
305,3077,11
306,3123,11
307,3163,11
308,3194,11
309,3240,11
310,3282,11
311,3313,11
312,3359,11
313,3401,11
314,3436,11
315,3481,11
316,3521,11
317,3555,11
318,3604,11
319,3645,11
320,3680,11
321,3730,11
322,3772,11
323,3807,11
324,3859,11
325,3900,11
326,3936,11
327,3987,11
328,4030,11
329,4066,11
330,4117,11
331,4160,11
332,4197,11
333,4251,11
334,4294,11
335,4331,11
336,4384,11
337,4429,11
338,4470,11
339,4522,11
340,4568,11
341,4609,11
342,4663,11
343,4709,11
344,4748,11
345,4802,11
346,4847,11
347,4887,11
348,4941,11
349,4988,11
350,5029,11
351,5084,11
352,5134,11
353,5177,11
354,5231,11
355,5282,11
356,5324,11
357,5382,11
358,5432,11
359,5475,11
360,5533,11
361,5581,11
362,5627,11
363,5687,11
364,5736,11
365,5781,11
366,5842,11
367,5890,11
368,5937,11
369,5998,11
370,6046,11
371,6095,11
372,6158,11
373,6207,11
374,6253,11
375,6319,11
376,6370,11
377,6417,11
378,6482,11
379,6534,11
380,6583,11
381,6647,11
382,6700,11
383,6747,11
384,6813,11
385,6867,11
386,6916,11
387,6984,11
388,7038,11
389,7086,11
390,7154,11
391,7209,11
392,7254,11
393,7322,11
394,7379,11
395,7427,11
396,7493,11
397,7553,11
398,7604,11
399,7672,11
400,7719,22
401,7764,22
402,7830,22
403,7888,22
404,7938,22
405,8006,22
406,8067,22
407,8116,22
408,8187,22
409,8252,22
410,8304,22
411,8375,22
412,8438,22
413,8493,22
414,8565,22
415,8628,22
416,8684,22
417,8755,22
418,8815,22
419,8871,22
420,8945,22
421,9009,22
422,9067,22
423,9138,22
424,9199,22
425,9256,22
426,9330,22
427,9393,22
428,9451,22
429,9526,22
430,9590,22
431,9652,22
432,9729,22
433,9794,22
434,9854,22
435,9931,22
436,9995,22
437,10055,22
438,10131,22
439,10199,22
440,10259,22
441,10337,22
442,10407,22
443,10468,22
444,10547,22
445,10614,22
446,10676,22
447,10754,22
448,10822,22
449,10883,22
450,10962,22
451,11030,22
452,11090,22
453,11171,22
454,11239,22
455,11301,22
456,11383,22
457,11457,22
458,11517,22
459,11596,22
460,11673,22
461,11736,22
462,11816,22
463,11892,22
464,11959,22
465,12043,22
466,12116,22
467,12181,22
468,12268,22
469,12342,22
470,12407,22
471,12496,22
472,12569,22
473,12635,22
474,12723,22
475,12799,22
476,12864,22
477,12945,22
478,13022,22
479,13091,22
480,13176,22
481,13253,22
482,13321,22
483,13412,22
484,13489,22
485,13559,22
486,13646,22
487,13724,22
488,13793,22
489,13881,22
490,13962,22
491,14035,22
492,14122,22
493,14202,22
494,14272,22
495,14363,22
496,14444,22
497,14516,22
498,14607,22
499,14688,22
500,14742,44
501,14816,44
502,14894,44
503,14962,44
504,15047,44
505,15130,44
506,15200,44
507,15287,44
508,15367,44
509,15439,44
510,15524,44
511,15606,44
512,15677,44
513,15762,44
514,15843,44
515,15916,44
516,16004,44
517,16085,44
518,16156,44
519,16239,44
520,16320,44
521,16390,44
522,16471,44
523,16551,44
524,16623,44
525,16706,44
526,16784,44
527,16856,44
528,16945,44
529,17025,44
530,17094,44
531,17179,44
532,17257,44
533,17328,44
534,17410,44
535,17488,44
536,17558,44
537,17642,44
538,17719,44
539,17789,44
540,17871,44
541,17951,44
542,18017,44
543,18098,44
544,18176,44
545,18245,44
546,18327,44
547,18405,44
548,18477,44
549,18557,44
550,18638,44
551,18703,44
552,18784,44
553,18865,44
554,18937,44
555,19018,44
556,19091,44
557,19164,44
558,19247,44
559,19321,44
560,19389,44
561,19475,44
562,19548,44
563,19616,44
564,19701,44
565,19774,44
566,19837,44
567,19912,44
568,19982,44
569,20039,44
570,20110,44
571,20176,44
572,20232,44
573,20303,44
574,20360,44
575,20417,44
576,20486,44
577,20546,44
578,20599,44
579,20664,44
580,20722,44
581,20774,44
582,20837,44
583,20891,44
584,20942,44
585,21003,44
586,21057,44
587,21106,44
588,21168,44
589,21223,44
