generation,fish,shark
0,22442,2520
1,20360,2520
2,18546,2520
3,32175,2345
4,31720,2239
5,30278,2169
6,40551,2090
7,42411,2062
8,42770,2051
9,45642,2042
10,45127,4080
11,43843,4079
12,43462,4078
13,43202,4072
14,43013,4068
15,42974,4062
16,42972,4058
17,42964,4053
18,43011,4048
19,43058,4044
20,40747,8080
21,36665,8078
22,33421,8076
23,30695,7982
24,28208,7826
25,26004,7566
26,24242,7220
27,22776,6818
28,21623,6367
29,20922,5903
30,19993,10909
31,15979,10498
32,12982,10097
33,11269,8004
34,10388,6365
35,10317,4794
36,10930,3572
37,11968,2662
38,13553,2033
39,15631,1587
40,17956,2607
41,19945,2435
42,22296,2315
43,25011,1886
44,27963,1690
45,31142,1556
46,34343,1472
47,37414,1417
48,40309,1380
49,42743,1361
50,43951,2696
51,44139,2690
52,44364,2685
53,44539,2664
54,44632,2649
55,44727,2632
56,44810,2618
57,44921,2604
58,45036,2590
59,45160,2581
60,43726,5143
61,41446,5135
62,39846,5130
63,38587,5057
64,37557,4963
65,36730,4834
66,36086,4685
67,35638,4538
68,35364,4394
69,35307,4254
70,34018,8258
71,30460,8137
72,27572,8036
73,25389,7392
74,23704,6782
75,22527,6090
76,21849,5447
77,21528,4866
78,21636,4379
79,22148,3956
80,22517,7227
81,20957,6960
82,20034,6709
83,19771,5580
84,20050,4797
85,20857,4086
86,22017,3499
87,23488,3061
88,25258,2711
89,27253,2454
90,29019,4532
91,29344,4389
92,29999,4280
93,30972,3801
94,32007,3483
95,33191,3228
96,34462,3037
97,35717,2887
98,36981,2773
99,38243,2687
100,38358,5240
101,36999,5197
102,36110,5159
103,35511,4919
104,35130,4734
105,34899,4520
106,34825,4323
107,34942,4141
108,35180,3984
109,35526,3860
110,34739,7490
111,31851,7398
112,29527,7319
113,27729,6843
114,26416,6396
115,25450,5871
116,24918,5365
117,24773,4894
118,24935,4495
119,25367,4137
120,25429,7705
121,23265,7481
122,21701,7277
123,20939,6248
124,20663,5484
125,20845,4711
126,21572,4084
127,22545,3561
128,23862,3152
129,25552,2837
130,26908,5189
131,26762,5004
132,27041,4870
133,27672,4240
134,28504,3843
135,29665,3488
136,31038,3199
137,32456,2974
138,33951,2804
139,35505,2670
140,36132,5168
141,35130,5100
142,34572,5042
143,34259,4738
144,34111,4506
145,34163,4276
146,34397,4066
147,34740,3889
148,35240,3736
149,35799,3604
150,35247,6985
151,32729,6898
152,30789,6823
153,29346,6367
154,28242,5968
155,27479,5520
156,27097,5097
157,26972,4695
158,27113,4352
159,27605,4066
160,27518,7644
161,25189,7450
162,23507,7272
163,22531,6367
164,21987,5675
165,21950,4985
166,22401,4377
167,23127,3871
168,24144,3482
169,25617,3158
170,26713,5811
171,26102,5615
172,26003,5470
173,26303,4755
174,26897,4256
175,27814,3821
176,28938,3477
177,30231,3193
178,31699,2962
179,33192,2803
180,33952,5360
181,33085,5266
182,32543,5190
183,32333,4827
184,32319,4566
185,32501,4297
186,32868,4063
187,33431,3856
188,34037,3678
189,34776,3538
190,34538,6832
191,32196,6746
192,30479,6670
193,29235,6205
194,28273,5801
195,27689,5354
196,27432,4925
197,27451,4554
198,27758,4220
199,28349,3947
200,28372,7434
201,26208,7252
202,24589,7101
203,23706,6279
204,23174,5630
205,23097,4976
206,23551,4400
207,24165,3927
208,25096,3544
209,26481,3256
210,27322,6027
211,26483,5847
212,26153,5693
213,26158,4982
214,26548,4508
215,27333,4058
216,28240,3684
217,29378,3377
218,30844,3131
219,32294,2944
220,32991,5588
221,32030,5484
222,31432,5405
223,31174,4959
224,31181,4620
225,31410,4282
226,31800,4012
227,32432,3781
228,33141,3605
229,34001,3441
230,33952,6628
231,31910,6526
232,30382,6445
233,29339,5968
234,28641,5566
235,28236,5133
236,28183,4746
237,28371,4411
238,28814,4118
239,29476,3865
240,29493,7301
241,27361,7128
242,25814,6975
243,24825,6225
