generation,fish,shark
0,2500,832
1,1965,832
2,1589,832
3,2574,832
4,2193,832
5,1828,832
6,2851,832
7,2540,832
8,2173,832
9,3091,832
10,2885,832
11,2557,832
12,3316,832
13,3195,832
14,2923,832
15,3540,832
16,3473,832
17,3250,832
18,3757,832
19,3731,832
20,3551,832
21,3973,832
22,3971,832
23,3834,832
24,4183,832
25,4214,832
26,4105,832
27,4386,832
28,4429,832
29,4347,832
30,4579,832
31,4626,832
32,4572,832
33,4752,832
34,4802,832
35,4766,832
36,4921,832
37,4970,832
38,4949,832
39,5081,832
40,5129,832
41,5119,832
42,5232,832
43,5277,832
44,5275,832
45,5366,832
46,5407,832
47,5419,832
48,5496,832
49,5531,832
50,5544,832
51,5603,832
52,5641,832
53,5656,832
54,5713,832
55,5748,831
56,5753,831
57,5800,831
58,5832,831
59,5839,831
60,5881,831
61,5909,831
62,5930,831
63,5967,831
64,5987,831
65,5996,831
66,6032,831
67,6055,831
68,6068,831
69,6097,831
70,6122,831
71,6128,831
72,6150,831
73,6167,831
74,6177,831
75,6192,831
76,6212,831
77,6216,831
78,6237,831
79,6255,831
80,6265,831
81,6283,831
82,6301,831
83,6311,831
84,6322,831
85,6336,831
86,6348,831
87,6359,831
88,6375,831
89,6387,831
90,6396,830
91,6405,830
92,6411,830
93,6418,830
94,6431,830
95,6436,830
96,6440,830
97,6442,830
98,6442,830
99,6452,830
100,6096,1661
101,5222,1661
102,4476,1661
103,3816,1661
104,3211,1661
105,2657,1661
106,2182,1661
107,1774,1661
108,1428,1661
109,1146,1661
110,910,1661
111,725,1661
112,583,1661
113,466,1661
114,372,1661
115,299,1661
116,238,1661
117,192,1661
118,157,1661
119,129,1661
120,106,1661
121,90,1661
122,74,1661
123,61,1661
124,52,1661
125,44,1661
126,38,1661
127,32,1661
128,26,1661
129,21,1661
130,18,1661
131,14,1661
132,12,1661
133,10,1660
134,9,1660
135,8,1660
136,7,1660
137,6,1660
138,5,1660
139,4,1659
140,3,1659
141,3,1659
142,2,1659
143,2,1658
144,2,1658
145,1,1657
146,1,1657
147,1,1656
148,1,1655
149,1,1653
150,1,1635
151,1,1615
152,0,1581
153,1,1528
154,0,1455
155,0,1365
156,0,1257
157,0,1140
158,0,1018
159,0,896
160,0,777
161,0,667
162,0,569
163,1,483
164,1,407
165,1,341
