generation,fish,shark
0,2497,833
1,1961,833
2,1587,833
3,2570,833
4,2184,833
5,1822,833
6,2846,833
7,2532,833
8,2166,833
9,3091,833
10,2877,833
11,2547,833
12,3321,833
13,3188,833
14,2907,833
15,3542,833
16,3484,833
17,3255,833
18,3773,833
19,3749,833
20,3570,830
21,3993,827
22,3999,825
23,3857,823
24,4213,820
25,4241,818
26,4140,816
27,4433,815
28,4482,814
29,4419,812
30,4667,810
31,4720,809
32,4683,807
33,4893,806
34,4948,804
35,4935,803
36,5115,802
37,5181,801
38,5174,800
39,5332,800
40,5398,799
41,5407,798
42,5536,797
43,5600,797
44,5613,796
45,5714,796
46,5769,795
47,5794,795
48,5888,795
49,5943,794
50,5685,1588
51,4977,1588
52,4341,1588
53,3767,1587
54,3275,1587
55,2808,1587
56,2387,1587
57,2039,1586
58,1728,1586
59,1461,1586
60,1243,1585
61,1047,1585
62,889,1584
63,763,1584
64,658,1583
65,562,1582
66,491,1582
67,430,1580
68,373,1578
69,331,1575
70,294,1548
71,259,1525
72,233,1491
73,213,1442
74,192,1382
75,181,1308
76,171,1221
77,159,1129
78,157,1032
79,153,934
80,151,838
81,157,746
82,161,662
83,164,584
84,178,516
85,190,454
86,203,398
87,229,351
88,252,309
89,277,274
90,318,242
91,354,215
92,396,191
93,457,171
94,510,154
95,570,140
96,656,127
97,732,117
98,819,108
99,934,100
100,1036,188
101,1119,183
102,1233,178
103,1335,173
104,1448,169
105,1592,167
106,1726,164
107,1867,162
108,2041,160
109,2200,158
110,2361,157
111,2552,156
112,2727,155
113,2904,154
114,3117,153
115,3310,152
116,3498,151
117,3715,150
118,3919,150
119,4112,149
120,4328,125
121,4533,124
122,4725,122
123,4935,121
124,5131,120
125,5314,119
126,5511,119
127,5690,118
128,5854,118
129,6031,117
130,6194,117
131,6345,117
132,6500,117
133,6645,116
134,6774,116
135,6901,116
136,7022,116
137,7129,116
138,7232,116
139,7331,116
140,7415,116
141,7493,116
142,7571,116
143,7637,116
144,7699,116
145,7760,116
146,7811,116
147,7855,116
148,7898,116
149,7936,116
150,7866,232
151,7822,232
152,7819,232
153,7827,232
154,7842,232
155,7851,232
156,7862,232
157,7876,232
158,7885,232
159,7894,232
160,7906,232
161,7916,232
162,7926,232
163,7937,232
164,7943,232
165,7947,232
166,7953,232
167,7956,232
168,7960,232
169,7964,232
170,7967,232
171,7972,232
172,7973,232
173,7976,232
174,7979,232
175,7979,232
176,7985,232
177,7988,232
178,7988,232
179,7992,232
180,7994,232
181,7997,232
182,7999,232
183,8003,232
184,8006,232
185,8008,232
186,8006,232
187,8008,232
188,8007,232
189,8008,232
190,8011,232
191,8013,232
192,8015,232
193,8018,232
194,8018,232
195,8020,232
196,8022,232
197,8024,232
198,8023,232
199,8025,231
200,7842,463
201,7654,463
202,7547,463
203,7467,463
204,7392,463
205,7324,463
206,7271,463
207,7221,463
208,7179,463
209,7142,463
210,7105,463
211,7076,463
212,7052,463
213,7028,463
214,7008,463
215,6990,463
216,6976,463
217,6957,463
218,6946,463
219,6935,463
220,6929,463
221,6920,462
222,6909,462
223,6904,460
224,6898,458
225,6896,456
226,6895,454
227,6893,451
228,6891,449
229,6894,446
230,6899,443
231,6902,440
232,6909,437
233,6916,434
234,6925,432
235,6931,430
236,6942,428
237,6954,426
238,6964,424
239,6976,423
240,6998,422
241,7014,420
242,7037,419
243,7059,418
244,7079,418
245,7103,417
246,7133,416
247,7155,415
248,7181,415
249,7210,414
250,7003,828
251,6659,828
252,6416,828
253,6207,827
254,6021,827
255,5856,827
256,5705,827
257,5579,826
258,5468,826
259,5368,826
260,5283,826
261,5210,826
262,5132,826
263,5078,825
264,5022,825
265,4971,825
266,4928,825
267,4888,825
268,4848,824
269,4813,824
270,4787,818
271,4758,812
272,4732,805
273,4715,795
274,4686,783
275,4671,768
276,4659,752
277,4643,734
278,4637,715
279,4635,697
280,4627,682
281,4631,667
282,4643,654
283,4654,641
284,4673,629
285,4698,619
286,4718,609
287,4759,601
288,4792,592
289,4828,585
290,4878,579
291,4926,572
292,4975,566
293,5034,560
294,5101,556
295,5159,552
296,5236,547
297,5310,543
298,5378,540
299,5463,537
300,5367,1069
301,5005,1067
302,4729,1065
303,4505,1063
304,4299,1061
305,4128,1058
306,3993,1056
307,3870,1054
308,3768,1053
309,3689,1051
310,3610,1049
311,3545,1047
312,3500,1045
313,3452,1044
314,3409,1042
315,3385,1041
316,3348,1038
317,3321,1035
318,3301,1033
319,3275,1030
320,3253,989
321,3237,972
322,3223,948
323,3213,922
324,3204,892
325,3206,862
326,3210,831
327,3215,801
328,3227,772
329,3243,745
330,3260,721
331,3287,697
332,3318,678
333,3352,660
334,3394,643
335,3444,628
336,3491,615
337,3550,601
338,3612,590
339,3678,579
340,3755,568
341,3834,559
342,3918,551
343,4009,544
344,4108,536
345,4211,530
346,4313,524
347,4428,518
348,4547,513
349,4647,508
350,4641,1007
351,4421,1003
352,4238,999
353,4113,994
354,4003,991
355,3910,988
356,3853,985
357,3807,982
358,3762,978
359,3738,975
360,3728,972
361,3706,969
362,3702,965
363,3702,962
364,3698,959
365,3700,955
366,3701,952
367,3704,948
368,3709,943
369,3710,938
370,3716,872
371,3733,850
372,3751,824
373,3766,798
374,3792,771
375,3823,746
376,3853,722
377,3894,701
378,3932,682
379,3974,664
380,4019,647
381,4073,633
382,4128,620
383,4183,608
384,4250,597
385,4317,586
386,4387,577
387,4461,567
388,4541,558
389,4621,550
390,4703,542
391,4794,534
392,4884,529
393,4968,523
394,5060,518
395,5154,514
396,5238,510
397,5331,506
398,5434,502
399,5524,499
400,5441,992
401,5147,989
402,4941,986
403,4778,983
404,4637,981
405,4506,979
406,4418,977
407,4338,975
408,4261,973
409,4204,971
410,4154,969
411,4115,968
412,4078,966
413,4043,964
414,4016,962
415,3992,960
416,3974,957
417,3955,954
418,3938,950
419,3916,946
420,3909,903
421,3908,883
422,3903,864
423,3908,844
424,3919,821
425,3924,798
426,3936,777
427,3959,755
428,3979,735
429,4002,717
430,4030,700
431,4058,683
432,4094,668
433,4137,654
434,4177,642
435,4226,630
436,4273,620
437,4316,609
438,4372,600
439,4431,591
440,4487,584
441,4550,577
442,4613,570
443,4679,564
444,4757,558
445,4831,553
446,4905,548
447,4995,544
448,5074,540
449,5154,537
450,5072,1068
451,4742,1064
452,4488,1061
453,4299,1058
454,4126,1056
455,3964,1053
456,3851,1050
457,3748,1048
458,3654,1045
459,3591,1043
460,3534,1040
461,3482,1038
462,3449,1035
463,3415,1033
464,3387,1030
465,3371,1027
466,3352,1025
467,3334,1021
468,3324,1017
469,3312,1013
470,3308,955
471,3306,931
472,3306,906
473,3318,878
474,3328,847
475,3342,815
476,3360,785
477,3382,755
478,3409,725
479,3440,701
480,3472,677
481,3509,655
482,3551,634
483,3592,617
484,3636,600
485,3690,585
486,3741,571
487,3801,558
488,3875,545
489,3938,534
490,4014,525
491,4094,516
492,4170,508
493,4256,500
494,4352,493
495,4446,486
496,4541,480
497,4646,475
498,4748,470
499,4853,466
500,4823,925
501,4587,921
502,4427,918
503,4310,914
504,4204,911
505,4121,908
506,4064,905
507,4015,902
508,3981,900
509,3964,898
510,3945,896
511,3934,893
512,3937,891
513,3933,888
514,3939,885
515,3957,883
516,3970,880
517,3980,877
518,4005,874
519,4012,869
520,4027,815
521,4055,796
522,4073,776
523,4091,753
524,4125,731
525,4150,710
526,4175,689
527,4205,670
528,4239,652
529,4277,634
530,4319,619
531,4363,604
532,4410,591
533,4457,579
534,4512,568
535,4570,558
536,4627,548
537,4687,540
538,4746,532
539,4807,524
540,4882,518
541,4950,512
542,5020,506
543,5104,502
544,5182,497
545,5259,493
546,5350,489
547,5432,485
548,5519,481
549,5610,478
550,5525,951
551,5240,949
552,5029,947
553,4857,945
554,4711,942
555,4588,941
556,4485,939
557,4397,937
558,4334,935
559,4270,933
560,4225,931
561,4188,930
562,4144,928
563,4128,926
564,4107,925
565,4085,924
566,4070,922
567,4059,920
568,4046,916
569,4036,912
570,4025,872
571,4019,855
572,4019,838
573,4026,815
574,4025,791
575,4037,766
576,4055,742
577,4067,719
578,4083,699
579,4107,679
580,4119,662
581,4150,645
582,4184,629
583,4207,617
584,4240,605
585,4283,595
586,4319,584
587,4365,574
588,4421,566
589,4467,557
590,4528,548
591,4591,542
592,4649,535
593,4726,529
594,4805,524
595,4871,518
596,4958,513
597,5045,509
598,5129,504
599,5224,501
600,5156,993
601,4870,990
602,4665,986
603,4501,984
604,4363,981
605,4255,979
606,4163,977
607,4080,975
608,4020,973
609,3971,971
610,3923,969
611,3891,967
612,3857,965
613,3834,963
614,3819,961
615,3803,958
616,3785,956
617,3775,953
618,3768,950
619,3756,945
620,3752,897
621,3752,877
622,3754,854
623,3765,830
624,3770,805
625,3780,781
626,3805,757
627,3819,734
628,3840,710
629,3869,691
630,3899,672
631,3934,655
632,3976,641
633,4018,627
634,4059,614
635,4110,603
636,4163,593
637,4213,583
638,4277,575
639,4344,566
640,4406,558
641,4484,551
642,4563,544
643,4636,538
644,4718,531
645,4804,527
646,4890,523
647,4986,518
648,5077,514
649,5169,510
650,5109,1013
651,4831,1010
652,4616,1007
