generation,fish,shark
0,4964,1670
1,3894,1670
2,3146,1670
3,5333,1287
4,4827,1005
5,4384,817
6,7620,663
7,7501,581
8,7192,537
9,11073,494
10,11480,950
11,11116,941
12,13281,932
13,13700,917
14,13778,909
15,14547,902
16,14836,897
17,14955,896
18,15170,894
19,15286,893
20,14705,1786
21,13961,1786
22,13482,1785
23,13115,1779
24,12823,1767
25,12570,1752
26,12373,1733
27,12215,1711
28,12098,1686
29,12035,1661
30,11455,3274
31,9816,3254
32,8441,3231
33,7342,3029
34,6461,2796
35,5788,2503
36,5342,2188
37,5069,1882
38,4944,1616
39,5028,1387
40,5156,2408
41,4747,2253
42,4613,2133
43,4736,1590
44,5050,1256
45,5618,972
46,6316,765
47,7120,616
48,8097,523
49,9122,463
50,10079,846
51,10770,819
52,11445,803
53,12095,743
54,12728,713
55,13328,693
56,13843,679
57,14306,669
58,14697,662
59,15001,658
60,14828,1309
61,14425,1308
62,14187,1306
63,14015,1294
64,13873,1280
65,13769,1265
66,13714,1247
67,13682,1231
68,13675,1217
69,13709,1201
70,13207,2375
71,12111,2364
72,11251,2354
73,10575,2265
74,9992,2168
75,9534,2052
76,9202,1925
77,8959,1794
78,8840,1669
79,8840,1558
80,8642,2921
81,7613,2837
82,6828,2766
83,6317,2385
84,5988,2089
85,5878,1787
86,5952,1519
87,6162,1293
88,6524,1123
89,7030,993
90,7520,1771
91,7587,1690
92,7785,1624
93,8107,1335
94,8566,1166
95,9108,1026
96,9706,918
97,10363,842
98,11044,789
99,11713,750
100,12126,1445
101,12070,1426
102,12088,1412
103,12178,1344
104,12284,1295
105,12392,1252
106,12525,1212
107,12680,1178
108,12845,1149
109,13029,1124
110,12776,2200
111,11913,2182
112,11245,2167
113,10749,2072
114,10335,1975
115,10018,1862
116,9839,1751
117,9720,1643
118,9688,1553
119,9760,1471
120,9571,2799
121,8553,2738
122,7767,2686
123,7202,2391
124,6834,2146
125,6648,1890
126,6625,1658
127,6742,1447
128,6994,1279
129,7359,1137
130,7730,2051
131,7522,1964
132,7456,1891
133,7632,1575
134,7889,1377
135,8270,1196
136,8787,1056
137,9349,948
138,9958,869
139,10653,810
140,11120,1529
141,11080,1496
142,11144,1473
143,11288,1363
144,11437,1294
145,11646,1230
146,11885,1175
147,12132,1128
148,12393,1092
149,12663,1059
150,12537,2073
151,11830,2053
152,11314,2035
153,10949,1916
154,10663,1812
155,10455,1705
156,10361,1605
157,10322,1514
158,10360,1433
159,10478,1367
160,10307,2629
161,9346,2583
162,8599,2542
163,8090,2299
164,7724,2091
165,7518,1876
166,7461,1677
167,7532,1492
168,7717,1348
169,8001,1221
170,8227,2244
171,7819,2166
172,7573,2099
173,7541,1785
174,7650,1567
175,7899,1357
176,8276,1187
177,8719,1058
178,9261,961
179,9854,889
180,10281,1663
181,10202,1618
182,10255,1586
183,10382,1433
184,10571,1330
185,10828,1238
186,11112,1167
187,11441,1109
188,11789,1064
189,12126,1025
190,12131,1989
191,11558,1965
192,11138,1944
193,10866,1831
194,10659,1737
195,10525,1638
196,10477,1541
197,10494,1458
198,10567,1380
199,10723,1313
200,10589,2515
201,9690,2473
202,8997,2436
203,8536,2225
204,8201,2046
205,8004,1853
206,7972,1671
207,8053,1516
208,8216,1379
209,8499,1271
210,8669,2372
211,8133,2303
212,7781,2243
213,7614,1944
214,7619,1720
215,7754,1507
216,7994,1325
217,8350,1177
218,8788,1060
219,9303,971
220,9685,1810
221,9532,1757
222,9494,1716
223,9590,1531
224,9790,1402
225,10037,1284
226,10371,1191
227,10752,1113
228,11140,1056
229,11585,1009
230,11706,1941
231,11210,1914
232,10882,1893
