generation,fish,shark
0,2505,830
1,1970,830
2,3164,830
3,2709,830
4,4056,830
5,3738,830
6,4840,830
7,4712,830
8,5494,823
9,5480,817
10,6019,814
11,6070,811
12,6437,809
13,6508,808
14,6754,807
15,6827,807
16,6971,806
17,7025,806
18,7108,806
19,7150,806
20,6610,1612
21,5823,1612
22,5305,1612
23,4835,1612
24,4432,1612
25,4051,1612
26,3716,1611
27,3391,1611
28,3106,1609
29,2835,1603
30,2592,1592
31,2373,1574
32,2175,1550
33,2005,1518
34,1853,1476
35,1731,1425
36,1630,1369
37,1557,1306
38,1511,1243
39,1487,1178
40,1464,2217
41,1150,2150
42,963,2086
43,846,2021
44,793,1951
45,758,1884
46,762,1814
47,764,1733
48,821,1062
49,887,841
50,991,663
51,1106,533
52,1265,437
53,1435,369
54,1658,318
55,1892,281
56,2185,258
57,2485,242
58,2844,231
59,3207,222
60,3560,433
61,3775,429
62,4067,426
63,4357,423
64,4674,422
65,4979,421
66,5287,419
67,5574,418
68,5855,404
69,6111,399
70,6355,394
71,6572,391
72,6777,388
73,6951,386
74,7112,385
75,7248,383
76,7367,383
77,7472,382
78,7554,381
79,7625,381
80,7392,761
81,7113,761
82,6975,761
83,6859,761
84,6772,761
85,6698,761
86,6633,761
87,6579,760
88,6539,758
89,6507,756
90,6485,752
91,6474,747
92,6468,742
93,6465,736
94,6468,730
95,6482,724
96,6494,719
97,6523,714
98,6551,710
99,6589,706
100,6272,1405
101,5661,1402
102,5239,1399
103,4875,1396
104,4588,1394
105,4341,1391
106,4132,1388
107,3960,1383
108,3803,1333
109,3680,1287
110,3575,1227
111,3492,1160
112,3436,1092
113,3391,1028
114,3373,969
115,3373,914
116,3404,867
117,3454,827
118,3541,794
119,3643,764
120,3629,1481
121,3259,1458
122,3049,1439
123,2877,1422
124,2791,1406
125,2740,1390
126,2731,1372
127,2732,1352
128,2768,1166
129,2821,1073
130,2897,979
131,2991,892
132,3098,818
133,3230,755
134,3373,702
135,3530,659
136,3703,624
137,3895,594
138,4103,570
139,4333,550
140,4430,1068
141,4282,1054
142,4248,1041
143,4238,1030
144,4267,1020
145,4299,1011
146,4354,1000
147,4412,990
148,4492,892
149,4574,850
150,4674,811
151,4781,777
152,4906,748
153,5022,722
154,5160,700
155,5293,682
156,5438,666
157,5580,652
158,5733,642
159,5878,632
160,5752,1249
161,5349,1243
162,5096,1237
163,4891,1233
164,4729,1229
165,4601,1224
166,4491,1218
167,4404,1211
168,4339,1150
169,4292,1113
170,4273,1067
171,4259,1020
172,4266,976
173,4298,935
174,4329,898
175,4395,864
176,4465,836
177,4558,812
178,4659,790
179,4777,771
180,4658,1509
181,4197,1495
182,3887,1483
183,3650,1471
184,3470,1460
185,3331,1449
186,3223,1436
187,3142,1423
188,3093,1287
189,3067,1203
190,3068,1122
191,3087,1042
192,3130,970
193,3185,901
194,3271,843
195,3368,792
196,3487,749
197,3628,712
198,3780,681
199,3951,655
200,3983,1265
201,3737,1244
202,3610,1228
203,3541,1215
204,3512,1200
205,3512,1188
206,3543,1175
207,3577,1159
208,3640,1007
209,3714,934
210,3819,865
211,3920,806
212,4057,753
213,4192,713
214,4347,677
215,4505,648
216,4682,623
217,4865,603
218,5056,584
219,5253,569
220,5247,1113
221,4999,1103
222,4871,1094
223,4790,1086
224,4737,1079
225,4705,1072
