generation,fish,shark
0,2488,830
1,1952,830
2,1578,830
3,2563,830
4,2188,830
5,1830,830
6,2883,777
7,2600,734
8,2264,701
9,3312,668
10,3171,639
11,2897,619
12,3924,597
13,3917,581
14,3730,568
15,4643,1113
16,4297,1105
17,3827,1099
18,4147,1093
19,3940,1087
20,3609,1081
21,3823,1042
22,3692,1019
23,3453,996
24,3637,971
25,3580,944
26,3432,919
27,3626,891
28,3626,867
29,3545,841
30,3675,1633
31,3183,1611
32,2705,1588
33,2491,1565
34,2227,1539
35,1947,1508
36,1864,1297
37,1752,1168
38,1624,1037
39,1657,914
40,1652,802
41,1624,706
42,1754,626
43,1842,558
44,1896,501
45,2099,908
46,2088,865
47,2058,835
48,2198,806
49,2313,780
50,2380,753
51,2602,563
52,2809,500
53,2977,453
54,3268,411
55,3562,379
56,3808,350
57,4156,330
58,4499,317
59,4795,305
60,5089,590
61,5197,583
62,5295,578
63,5443,574
64,5581,570
65,5685,565
66,5810,534
67,5938,520
68,6043,508
69,6163,498
70,6282,488
71,6384,480
72,6499,473
73,6611,467
74,6713,463
75,6600,921
76,6284,918
77,6055,915
78,5880,912
79,5724,909
80,5587,906
81,5477,882
82,5380,868
83,5303,852
84,5233,834
85,5181,816
86,5149,797
87,5124,780
88,5119,766
89,5126,750
90,4958,1475
91,4388,1462
92,3926,1449
93,3555,1437
94,3235,1422
95,2971,1406
96,2757,1281
97,2588,1194
98,2459,1100
99,2355,1008
100,2285,915
101,2255,829
102,2247,752
103,2262,687
104,2313,631
105,2338,1161
106,2144,1116
107,2039,1079
108,1988,1046
109,1967,1014
110,1995,980
111,2066,734
112,2164,640
113,2298,556
114,2463,485
115,2649,426
116,2872,380
117,3112,343
118,3376,317
119,3669,295
120,3930,554
121,4061,542
122,4223,532
123,4404,523
124,4589,515
125,4771,507
126,4971,450
127,5169,429
128,5363,413
129,5562,399
130,5760,387
131,5949,377
132,6145,369
133,6325,362
134,6505,357
135,6521,706
136,6366,703
137,6283,700
138,6223,698
139,6171,695
140,6128,693
141,6104,670
142,6081,658
143,6064,645
144,6058,633
145,6059,620
146,6075,609
147,6100,598
148,6123,588
149,6156,580
150,5991,1145
151,5545,1138
152,5206,1132
153,4915,1126
154,4668,1119
155,4463,1111
156,4280,1052
157,4132,1010
158,4018,964
159,3925,916
160,3844,867
161,3795,820
162,3770,778
163,3755,743
164,3770,710
165,3698,1358
166,3287,1333
167,2984,1310
168,2760,1288
169,2571,1263
170,2428,1237
171,2350,1045
172,2290,945
173,2265,853
174,2301,765
175,2340,685
176,2407,613
177,2517,556
178,2638,507
179,2786,467
180,2925,867
181,2883,838
182,2909,814
183,2981,790
184,3070,770
185,3184,749
186,3334,595
187,3500,535
188,3687,489
189,3900,449
190,4121,416
191,4352,388
192,4609,368
193,4867,353
194,5122,341
195,5290,664
196,5274,657
197,5307,651
198,5369,646
199,5428,642
200,5495,636
201,5576,599
202,5647,583
203,5738,567
204,5825,552
205,5910,538
206,5995,524
207,6088,514
208,6180,504
209,6274,497
210,6172,981
211,5848,974
212,5608,969
213,5416,964
214,5252,959
215,5104,953
216,4988,906
217,4893,877
218,4814,844
219,4754,813
220,4708,782
221,4678,751
222,4669,723
223,4677,698
224,4697,675
225,4574,1314
226,4133,1296
227,3792,1281
228,3515,1267
229,3292,1251
230,3116,1232
231,2972,1099
232,2867,1022
233,2798,943
234,2763,867
235,2747,796
236,2767,730
237,2815,673
238,2875,623
239,2964,580
240,3018,1087
241,2847,1056
242,2750,1028
243,2713,1002
244,2702,978
245,2721,952
246,2795,759
247,2887,680
248,3000,611
249,3145,550
250,3308,498
251,3485,455
252,3688,421
253,3904,393
254,4130,371
255,4306,706
256,4312,692
257,4365,680
258,4451,669
259,4553,659
260,4664,650
261,4782,577
262,4904,550
263,5055,527
264,5195,508
265,5336,489
266,5490,474
267,5638,462
268,5790,451
269,5940,442
270,5935,870
271,5717,864
272,5568,858
273,5458,852
274,5370,846
275,5294,840
276,5246,795
277,5211,768
278,5183,741
279,5173,714
280,5183,690
281,5191,667
282,5217,647
283,5259,628
284,5297,610
285,5188,1193
286,4790,1180
287,4466,1169
288,4223,1158
289,4020,1146
290,3836,1134
291,3705,1040
292,3609,983
293,3522,924
